Ensembl Gene ID	Unigene ID
ENSG00000095739	Hs.703618
ENSG00000095752	Hs.467304
ENSG00000095787	Hs.614153
ENSG00000095787	Hs.740725
ENSG00000095787	Hs.743224
ENSG00000095906	Hs.256549
ENSG00000095932	Hs.130714
ENSG00000095970	
ENSG00000096080	
ENSG00000096150	Hs.611512
ENSG00000096150	Hs.708743
ENSG00000096155	Hs.440900
ENSG00000096171	Hs.520026
ENSG00000096395	Hs.2813
ENSG00000096401	Hs.603103
ENSG00000096401	Hs.485471
ENSG00000096401	Hs.617376
ENSG00000096872	Hs.145402
ENSG00000096996	Hs.567294
ENSG00000096996	Hs.735696
ENSG00000097021	Hs.599325
ENSG00000097021	Hs.126137
ENSG00000097046	
ENSG00000099219	Hs.591078
ENSG00000099219	Hs.623427
ENSG00000099219	Hs.717552
ENSG00000099338	Hs.324335
ENSG00000099341	Hs.78466
ENSG00000099624	
ENSG00000099625	Hs.346575
ENSG00000099795	
ENSG00000099800	Hs.75056
ENSG00000099812	Hs.439180
ENSG00000099817	Hs.737181
ENSG00000099821	Hs.254113
ENSG00000099834	Hs.165619
ENSG00000099840	Hs.424049
ENSG00000099866	
ENSG00000099901	Hs.24763
ENSG00000099917	Hs.517421
ENSG00000099940	Hs.595327
ENSG00000099940	Hs.108002
ENSG00000099940	Hs.701035
ENSG00000099956	Hs.534350
ENSG00000099968	Hs.604999
ENSG00000099968	Hs.627270
ENSG00000099968	Hs.743849
